node_id,first_seen_days_ago,associated_account_count,platform,device_risk_score,has_root_jailbreak
000d66f30d1d092aee3f9a7e81fbf3845683b9b8e4d06c04b69dffbec45083f5,510,7,0,0.30747142857142856,1
001baf4899c740a034b52395558b0d0192132d7b29121cfff03a503f6cca7a9b,480,6,0,0.3597333333333333,1
0023b0e22daf6ef7276a7c69a3b39f0ba95c2fef6612511fa003c211b095ae0f,487,6,1,0.0688,0
0024071648d2d1282a225c3a8a41feb460032a70269d854ab9bae08c75a0812f,513,9,1,0.15104444444444443,1
002da253f49d765fe1a49da1128042f3852ddcae6bd521b086ddc6ede3254b24,355,5,3,0.10472,0
002e4653bce4dfeedcf7d00e3c94e2dc2b3f2dccdd94acf7b80dfdf576417a97,487,13,1,0.18738461538461537,1
00335f7c425d3ca10e7e47cceb9ab943c1dd476b108340583e2e4fc86581e46d,435,7,1,0.3157857142857143,1
003460b09f15c1d7e9ca62c09c4440a56204a7d8f158389918f7ab04f74c6100,248,3,1,0.2938,1
0036c618ed79f9504e20826b8b8fb8606d53bff2af2bd4a93acffce8c3899658,495,2,3,0.18425,0
003917ece401d0364af18da0006cd73f6df5a82e4c52a0c24b9618bedfcc0ec5,481,4,3,0.038275,0
004174e93a85ce38586ee005798aa8851c9ad03d454b2424dc48d4130a2858c1,493,2,0,0.0253,0
0046288f5a1a4f9c3dd2c057af2dc1af082e8d769128f05108ad67e3634b1526,407,8,2,0.222,1
004a8b87b91253f77ff8594d9e26ab9cdf5a4740b598fb72c66fa9396d093977,446,4,3,0.15560000000000002,0
004efcc3ea196c71a59d13bbbeeea403d7776c69d0f8c0e20d9e731401eb942d,407,5,3,0.11717999999999999,0
005152a7d8f660c4290bfe51df38110fb08ba344262af61eecf4289e2c3e1c71,336,5,2,0.42585999999999996,0
0053aff9a4547dbae36266e02daaf5f9ca3e76f65ba090b542a5b6711f1fb43d,455,5,2,0.31056,0
0055bfc365073f586dbc9030a3a4f464a2b935921cf834a9c48a3ab90eb36ca8,461,5,3,0.06860000000000001,0
0056e713e05eee76e50a6153b3efc481071a2ce24c6e35c1729eafe4de6e7e1e,489,7,3,0.09932857142857143,0
00571877af8bb303e7dd4f80d10e91e71a3a59c7154bb97f8849795024186cdd,509,4,3,0.102975,0
005eb2f289d050a0d67769462bf8e7c5488b5407a526e30263917963c0805453,461,6,3,0.28045000000000003,1
005f7c03050cd937448733bb824f00ec7c69fe208ed28c187f29f30ae520f0e6,491,5,2,0.26636000000000004,1
00603bb564d4833b0e769d4f285e4c0fb9aa3a2ccbd5126eb1c0f1c605d9470e,416,3,3,0.10836666666666667,0
0060df15eea710b129c064b1c92945f511ccde09181f45f03674c5d700eb0009,348,4,3,0.09215,0
0064fd1eed2786b1a2aeb0a455cd9f93a62be7998c466ce7c7f31e7bb28b7e6e,383,6,2,0.20095,1
006549c0071c3c85be9d1a0fdcf05776c8f23f0b81641aaacd512c1d9e1fd1ea,420,5,3,0.08202000000000001,1
0065d65099ce1f47f56e4d1f7617ea483fd1d50a1638af475889bcb94cca80c6,262,2,2,0.4081,0
006c19d6a5cad0cfd942b5f2545bc209418fcc297e06e288c6032042d01361c8,467,3,0,0.3987,0
006ecd66e056afac16a0d21f73ae6343fa2b0a74386ebc19d061a6f482415ff0,469,10,2,0.15627,0
0076656272ff31d1578683b03b0f2b6deda68a7096573c61df662ab4838ebd93,434,4,3,0.313075,0
0078a1a844a5c41f0663462f721796368700d1f87c966fb97af20b7641bdf84a,376,6,3,0.1831,1
0079d71e3f603cbc72375f36ec8c0da097c173e6b734437d2941d44b17bf6323,432,7,2,0.20841428571428572,0
007af82a1fa02243f1827d17f0df06de8dc68fdc2bde1940ab9d837f4ca746d5,377,7,0,0.08074285714285714,0
007cfe936ad7fe237f18b62d9860331a6ab2f3efede68a8164a37de26ec1285d,189,6,0,0.10836666666666667,0
007e1863d27e2218e5ce4ab07516699c3e8d13bcc63fa701401bf03a41aca563,422,11,0,0.17197272727272728,1
0083062ec9b0140dc4cf8068b6f524af4dda1d2240e7dc0bd6253f0a22d50b01,435,4,1,0.10140000000000002,0
0083779b0a0c31fcfc5cdcec5f97b48ee9ef0ddb58109ee05fe847137e3fc00f,468,5,1,0.29918,1
008536304d84934f86950e39e40e43befbe10ad38bb5bac61f57f3d322fd6731,479,2,1,0.37825,1
0092c98f0012e266fb787c201e80980547204ad6eacd75fdec0128ee4355284f,422,4,0,0.11370000000000001,0
0097e56c41cea28efb0e4385570f748cb4759e6d5841c9a5be0b06679fcabbc7,391,4,3,0.541525,1
009c8e799d1d964f842b8f00405bb5aad273417a8a53443ec47042f2d79a11d8,312,2,2,0.06475,0
00a0d4af598d7263afaf1f96ea41821518269764a809610cb9eca2d7f5efa1d3,441,5,3,0.19148,1
00a3be576c579e22fe4ffba3226ce726872d7686f45f4eff45491d40844ae19a,217,5,3,0.37923999999999997,1
00a57d72e5e28d18d8d809d291b7ee42c929cb884c93fb54ae5c44e4ab686354,456,4,3,0.2184,0
00a9300b852a136a60269309c6f80ba91d0568875fc0e260c6e0ba441619adff,181,2,1,0.00605,0
00ac9e893c149b575c7f5865d4c96461e049f1f36f50446106a581c9d5ae32d9,470,7,1,0.19434285714285712,0
